Process,ActUnit,CapUnit
SERLPG00,PJ,PJ_a
SERLFO01,PJ,PJ_a
SERLFO00,PJ,PJ_a
SERKER01,PJ,PJ_a
SERKER00,PJ,PJ_a
SERHYG01,PJ,PJ_a
SERHFO01,PJ,PJ_a
SERHFO00,PJ,PJ_a
SERGEO01,PJ,PJ_a
SERGEO00,PJ,PJ_a
SERELC01,PJ,PJ_a
SERELC00,PJ,PJ_a
SERCOA01,PJ,PJ_a
SERCOA00,PJ,PJ_a
SERBOM01,PJ,PJ_a
SERBOG-SW01,PJ,PJ_a
SERBOG-SW00,PJ,PJ_a
SERBIOLFO01,PJ,PJ_a
SDISTELC01,PJ,GW
SDISTELC00,GW,PJ_a
SDH-SWHS01,PJ,PJ_a
SDH-BLRW01,PJ,PJ_a
SDH-BLRH01,PJ,PJ_a
SDH-BLRG01,PJ,PJ_a
SDH-BLRG00,PJ,PJ_a
SDH-BLRE01,PJ,PJ_a
SDH-BLRC01,PJ,PJ_a
SDH-BLRC00,PJ,PJ_a
SCSVROFP01,PJ,PJ_a
SCSVROFF01,PJ,PJ_a
SCSVPTHM01,PJ,PJ_a
SCSVLTMR01,PJ,PJ_a
SCSVLPDT01,PJ,PJ_a
SCSVCAVW01,PJ,PJ_a
SCSVACON01,PJ,PJ_a
SCPECOMP01,PJ,PJ_a
SCPECOMP00,PJ,PJ_a
SCKOTH000,PJ,PJ_a
SCKNGA001,PJ,PJ_a
SCKNGA000,PJ,PJ_a
SCKLFO001,PJ,PJ_a
SCKHYG001,PJ,PJ_a
SCKELC001,PJ,PJ_a
SCKELC000,PJ,PJ_a
SCHP-STW01,PJ,GW
SCHP-STW00,PJ,GW
SCHP-STM01,PJ,GW
SCHP-GES01,PJ,GW
SCHP-GES00,PJ,GW
SCHP-FCH01,PJ,GW
SCHP-CCH01,PJ,GW
SCHP-CCG01,PJ,GW
SCHP-CCG00,PJ,GW
SCHP-ADM01,PJ,GW
SCHDAIR01,PJ,PJ_a
SCHDAIR00,PJ,PJ_a
RWNWHTRG01,PJ,PJ_a
RWNWHTRE01,PJ,PJ_a
RWNSA01,PJ,PJ_a
RWEWHTRG01,PJ,PJ_a
RWEWHTRG00,PJ,PJ_a
RWEWHTRE01,PJ,PJ_a
RWEWHTRE00,PJ,PJ_a
RWESOLRS00,PJ,PJ_a
RWESA01,PJ,PJ_a
RWESA00,PJ,PJ_a
RSERVPHYG01,PJ,PJ_a
RSERVPGAS01,PJ,PJ_a
RSERVPGAS00,PJ,PJ_a
RNWWNDONS,PJ,PJ_a
RNWWNDOFF,PJ,PJ_a
RNWWAV,PJ,PJ_a
RNWWAT,PJ,PJ_a
RNWTID,PJ,PJ_a
RNWSOL,PJ,PJ_a
RNWHYDROR,PJ,PJ_a
RNWHYDDAM,PJ,PJ_a
RNWGEO,PJ,PJ_a
RMETERELC01,GW,PJ_a
RMETERELC00,GW,PJ_a
RMAINPHYG01,PJ,PJ_a
RMAINPGAS01,PJ,PJ_a
RMAINPGAS00,PJ,PJ_a
RHYGNGA01,PJ,PJ_a
RHNUND01,PJ,PJ_a
RHNSTGNT01,PJ,PJ_a
RHNSHTRG01,PJ,PJ_a
RHNSHTRE01,PJ,PJ_a
RHNSA01,PJ,PJ_a
RHNREFCG01,PJ,PJ_a
RHNRAD01,PJ,PJ_a
RHNNSTRE01,PJ,PJ_a
RHNGHSUE01,PJ,PJ_a
RHNGHSRE01,PJ,PJ_a
RHNGHPUE01,PJ,PJ_a
RHNGHPRE01,PJ,PJ_a
RHNGHBUE01,PJ,PJ_a
RHNGHBRE01,PJ,PJ_a
RHNDUMMY00,PJ,PJ_a
RHNDHP401,PJ,PJ_a
RHNDHP301,PJ,PJ_a
RHNDHP201,PJ,PJ_a
RHNDHP101,PJ,PJ_a
RHNCHPRW01,PJ,GW
RHNCHPRH01,PJ,GW
